iter	Logloss
0	0.6718876569
1	0.6567721485
2	0.6447972436
3	0.6355592551
4	0.6279651863
5	0.6223237975
6	0.6179918588
7	0.6140263288
8	0.6110437392
9	0.6083816275
10	0.6061693812
11	0.6046516848
12	0.6027756881
13	0.6016680075
14	0.6006979218
15	0.599653971
16	0.5989252077
17	0.5982017842
18	0.5976697969
19	0.5973192588
20	0.5967829207
21	0.5963873912
22	0.5959667949
23	0.5955466931
24	0.5952502436
25	0.5949287275
26	0.5947490582
27	0.5945820459
28	0.5944058869
29	0.5942738789
30	0.5941183864
31	0.5939699639
32	0.5938844306
33	0.5936429104
34	0.5932624604
35	0.5931313423
36	0.5927506451
37	0.5925636091
38	0.592467001
39	0.592379935
40	0.5922827831
41	0.5922360611
42	0.5921943822
43	0.5920656373
44	0.5918222383
45	0.5916719865
46	0.59160178
47	0.5915425495
48	0.591373164
49	0.5913240194
50	0.5912504015
51	0.5912147049
52	0.5908437476
53	0.5907686465
54	0.5906594803
55	0.5905615373
56	0.5904635943
57	0.5904454988
58	0.5903530932
59	0.590308695
60	0.590271713
61	0.5902602921
62	0.5901610636
63	0.5900923898
64	0.5900659882
65	0.5900190685
66	0.5896699642
67	0.5895801295
68	0.5895265353
69	0.5894549444
70	0.5893226892
71	0.5892272677
72	0.5891884069
73	0.5891152834
74	0.5890848276
75	0.5889739805
76	0.5888727249
77	0.5887049215
78	0.5886559747
79	0.588603567
80	0.5885186271
81	0.5884495083
82	0.5884257765
83	0.588316907
84	0.5882327581
85	0.5881043098
86	0.5880340045
87	0.5879506466
88	0.5878247199
89	0.5877576282
90	0.5876798077
91	0.5874326512
92	0.5873914667
93	0.5872992094
94	0.5872549595
95	0.5872192136
96	0.5872006237
97	0.587174321
98	0.5870905676
99	0.587080976
100	0.5870234264
101	0.58691782
102	0.5868045008
103	0.5867666289
104	0.5867193631
105	0.5867132324
106	0.5866982022
107	0.5866162287
108	0.5865465167
109	0.5865006847
110	0.5864039282
111	0.5863672429
112	0.5863473675
113	0.5862753811
114	0.5862336528
115	0.5861984506
116	0.586188068
117	0.5861791686
118	0.5861494544
119	0.5860965029
120	0.5860877024
121	0.5859222721
122	0.5858822247
123	0.5857678673
124	0.5857476458
125	0.5856998362
126	0.5856407045
127	0.5855706463
128	0.5855093392
129	0.5854964351
130	0.5854349302
131	0.5853800011
132	0.5853193367
133	0.5852772128
134	0.5851517805
135	0.5851104477
136	0.5851048114
137	0.5850886936
138	0.5850399445
139	0.584928949
140	0.5849016081
141	0.5846644881
142	0.5846367021
143	0.5845485485
144	0.584538413
145	0.584513643
146	0.5844764138
147	0.5844586644
148	0.5843082643
149	0.5842837414
150	0.5842199129
151	0.5841936596
152	0.5841462455
153	0.5841405103
154	0.5840611077
155	0.5840310969
156	0.5839302369
157	0.5839068512
158	0.5838814879
159	0.5838516254
160	0.5838175604
161	0.583801492
162	0.5837847809
163	0.5837759309
164	0.5835960638
165	0.5835703544
166	0.5835396514
167	0.58348581
168	0.5834772072
169	0.5834265794
170	0.5834247007
171	0.5834194599
172	0.5833942449
173	0.5833699198
174	0.5833059924
175	0.5832384062
176	0.5832178881
177	0.5831748249
178	0.5831624151
179	0.5831460006
180	0.5831125784
181	0.5830872645
182	0.5830189368
183	0.5829682595
184	0.5829583219
185	0.5829245535
186	0.5828583023
187	0.5828106905
188	0.5827688138
189	0.5827338094
190	0.5825995271
191	0.5825973023
192	0.5825833104
193	0.5825501848
194	0.5825405932
195	0.5824972827
196	0.5824893721
197	0.5824565432
198	0.5824250986
199	0.582351975
