Data Pertubations,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,German Credit,,,,,,,,,,,,,,,,,,,,,,,
,,,NICE,,,,DiCE,,,,cfxplorer,,,,OCEAN,,,,Feature Tweak,,,,CEML,,,
Pertbation,Bin,Data,Mean Validity,Std Validity,Mean Accuracy,Std Accuracy,Mean Validity,Std Validity,Mean Accuracy,Std Accuracy,Mean Validity,Std Validity,Mean Accuracy,Std Accuracy,Mean Validity,Std Validity,Mean Accuracy,Std Accuracy,Mean Validity,Std Validity,Mean Accuracy,Std Accuracy,Mean Validity,Std Validity,Mean Accuracy,Std Accuracy
major_deletion,1,Remove 50%,0,0,0.6059,0.0006,0,0,0.606,0.0005,0,0,0.6059,0.0006,,,,,0,0,0.6059,0.0006,,,,
minor_addition,0,Use 80%   ,0.6492,0.013,0.9135,0.0044,0.5722,0.0545,0.9135,0.0039,0.6275,0.0425,0.9135,0.0044,0.4209,0.1072,0.9518,0.0041,0.4317,0.0319,0.9135,0.0044,,,,
minor_addition,5,Use 85%   ,0.6872,0.0096,0.9172,0.0016,0.5752,0.0392,0.9172,0.0014,0.6451,0.0389,0.9172,0.0016,0.4179,0.1056,0.9529,0.0047,0.552,0.082,0.9172,0.0016,,,,
minor_addition,10,Use 90%   ,0.736,0.0165,0.922,0.0032,0.5941,0.0214,0.922,0.0029,0.6471,0.0295,0.922,0.0032,0.4232,0.0876,0.9531,0.0016,0.6286,0.0845,0.922,0.0032,,,,
minor_addition,15,Use 95%   ,0.835,0.022,0.9259,0.0049,0.6585,0.0524,0.9259,0.0044,0.7092,0.0745,0.9259,0.0049,0.4146,0.104,0.9531,0.0034,0.7851,0.0713,0.9259,0.0049,,,,
minor_addition,20,Use 100%  ,1,0,0.9255,0.0064,1,0,0.9255,0.0057,1,0,0.9255,0.0064,0.4153,0.1042,0.9522,0.0044,1,0,0.9255,0.0064,,,,
major_addition,0,Use 50%   ,0.6593,0.3235,0.8512,0.0726,0.3722,0.0326,0.7905,0.01,0.6344,0.3477,0.8512,0.0726,0.414,0.1034,0.9464,0.0086,0.4886,0.4864,0.8512,0.0726,,,,
major_addition,1,Use 100%  ,1,0,0.9255,0.0064,1,0,0.9255,0.0057,1,0,0.9255,0.0064,0.4153,0.1042,0.9522,0.0044,1,0,0.9255,0.0064,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,COMPAS,,,,,,,,,,,,,,,,,,,,,,,
,,,NICE,,,,DiCE,,,,cfxplorer,,,,OCEAN,,,,Feature Tweak,,,,CEML,,,
Pertbation,Bin,Data,Mean Validity,Std Validity,Mean Accuracy,Std Accuracy,Mean Validity,Std Validity,Mean Accuracy,Std Accuracy,Mean Validity,Std Validity,Mean Accuracy,Std Accuracy,Mean Validity,Std Validity,Mean Accuracy,Std Accuracy,Mean Validity,Std Validity,Mean Accuracy,Std Accuracy,Mean Validity,Std Validity,Mean Accuracy,Std Accuracy
minor_deletion,0,Remove 0% ,1,0,0.6844,0.0103,1,0,0.6844,0.0092,1,0,0.6844,0.0103,0.5387,0.0234,0.6656,0.0088,1,0,0.6844,0.0103,,,,
minor_deletion,5,Remove 5% ,0.8394,0.0234,0.6857,0.0098,0.8963,0.0332,0.6857,0.0088,0.8322,0.0922,0.6857,0.0098,0.5415,0.0206,0.6649,0.0034,0.9253,0.0194,0.6857,0.0098,,,,
minor_deletion,10,Remove 10%,0.8109,0.1065,0.6837,0.0093,0.9164,0.0148,0.6837,0.0083,0.8726,0.0759,0.6837,0.0093,0.5384,0.0259,0.6666,0.0049,0.9322,0.0377,0.6837,0.0093,,,,
minor_deletion,15,Remove 15%,0.7981,0.1049,0.681,0.0087,0.8999,0.0236,0.681,0.0077,0.8642,0.0615,0.681,0.0087,0.5384,0.0204,0.663,0.0043,0.9083,0.0688,0.681,0.0087,,,,
minor_deletion,20,Remove 20%,0.8125,0.0916,0.6813,0.0103,0.8875,0.0265,0.6813,0.0092,0.8828,0.0526,0.6813,0.0103,0.5368,0.0166,0.6649,0.0038,0.9187,0.0321,0.6813,0.0103,,,,
major_deletion,0,Remove 0% ,1,0,0.6844,0.0103,1,0,0.6844,0.0092,1,0,0.6844,0.0103,,,,,1,0,0.6844,0.0103,,,,
major_deletion,1,Remove 50%,0.8323,0.0638,0.6828,0.0111,0.8279,0.0322,0.6828,0.0099,0.8829,0.0226,0.6828,0.0111,,,,,0.8795,0.0785,0.6828,0.0111,,,,
minor_addition,0,Use 80%   ,0.6233,0.0975,0.6797,0.011,0.8432,0.0398,0.6797,0.0099,0.7106,0.0774,0.6797,0.011,0.5368,0.0166,0.6649,0.0038,0.8497,0.0714,0.6797,0.011,,,,
minor_addition,5,Use 85%   ,0.7034,0.0776,0.6816,0.011,0.8817,0.0349,0.6816,0.0098,0.7968,0.0332,0.6816,0.011,0.5384,0.0204,0.663,0.0043,0.8384,0.0721,0.6816,0.011,,,,
minor_addition,10,Use 90%   ,0.7443,0.0705,0.6836,0.0103,0.9041,0.0157,0.6836,0.0092,0.824,0.0398,0.6836,0.0103,0.5384,0.0259,0.6666,0.0049,0.9034,0.0505,0.6836,0.0103,,,,
minor_addition,15,Use 95%   ,0.8822,0.0738,0.6836,0.0088,0.9517,0.0066,0.6836,0.0079,0.9274,0.0268,0.6836,0.0088,0.5415,0.0206,0.6649,0.0034,0.9699,0.0219,0.6836,0.0088,,,,
minor_addition,20,Use 100%  ,1,0,0.6844,0.0103,1,0,0.6844,0.0092,1,0,0.6844,0.0103,0.5387,0.0234,0.6656,0.0088,1,0,0.6844,0.0103,,,,
major_addition,0,Use 50%   ,0.745,0.253,0.6823,0.0101,0.772,0.0755,0.6779,0.0092,0.6165,0.1245,0.6779,0.0103,0.5136,0.0144,0.6531,0.0071,0.8402,0.1651,0.6823,0.0101,,,,
major_addition,1,Use 100%  ,1,0,0.6844,0.0103,1,0,0.6844,0.0092,1,0,0.6844,0.0103,0.5387,0.0234,0.6656,0.0088,1,0,0.6844,0.0103,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HELOC,,,,,,,,,,,,,,,,,,,,,,,
,,,NICE,,,,DiCE,,,,cfxplorer,,,,OCEAN,,,,Feature Tweak,,,,CEML,,,
