iter	Logloss
0	0.6718876569
1	0.6567721485
2	0.6447972436
3	0.6355592551
4	0.6279651863
5	0.6223237975
6	0.6179918588
7	0.6140263288
8	0.6110437392
9	0.6083816275
10	0.6061693812
11	0.6046516848
12	0.6027756881
13	0.6016680075
14	0.6006979218
15	0.599653971
16	0.5989252077
17	0.5982017842
18	0.5976697969
19	0.5973192588
20	0.5967829207
21	0.5963873912
22	0.5959667455
23	0.5955466931
24	0.5952502436
25	0.5949287275
26	0.5947490582
27	0.5945820459
28	0.5944058869
29	0.5942738295
30	0.5941183864
31	0.5939700133
32	0.5938844306
33	0.5936428115
34	0.5932624109
35	0.5931312929
36	0.5927506451
37	0.5925635596
38	0.5924669021
39	0.5923798856
40	0.5922827831
41	0.5922360611
42	0.5921943822
43	0.5920656373
44	0.5918222383
45	0.5916718877
46	0.5916016812
47	0.5915425
48	0.5913730651
49	0.5913240194
50	0.5912504015
51	0.5912147049
52	0.5908436487
53	0.5907686465
54	0.5906592825
55	0.590561389
56	0.5904634459
57	0.5904453505
58	0.5903530438
59	0.5903085467
60	0.5902715647
61	0.5902601932
62	0.5901609647
63	0.5900922415
64	0.5900658399
65	0.5900189202
66	0.5896699642
67	0.5895802284
68	0.5895266342
69	0.5894550433
70	0.5893226398
71	0.5892272677
72	0.5891884069
73	0.5891153329
74	0.5890849265
75	0.5889739805
76	0.5888726755
77	0.5887049215
78	0.5886558758
79	0.5886036165
80	0.5885184293
81	0.5884494094
82	0.5884256776
83	0.5883168575
84	0.5882326592
85	0.588104211
86	0.5880339056
87	0.5879505972
88	0.587824621
89	0.5877572821
90	0.5876795605
91	0.5874323546
92	0.5873912195
93	0.5872989622
94	0.5872546135
95	0.5872189169
96	0.587200327
97	0.5871740737
98	0.5870902709
99	0.5870806299
100	0.5870231298
101	0.5869174739
102	0.5868042536
103	0.5867662828
104	0.586719017
105	0.5867128863
106	0.5866979056
107	0.5866159815
108	0.5865463189
109	0.5865004375
110	0.5864036316
111	0.5863669462
112	0.5863470709
113	0.5862750845
114	0.5862333561
115	0.5861982034
116	0.5861876725
117	0.5861789214
118	0.5861491578
119	0.5860962062
120	0.5860874551
121	0.5859219755
122	0.5858819775
123	0.5857676201
124	0.5857473492
125	0.5856995395
126	0.5856405562
127	0.5855703991
128	0.5855090426
129	0.5854961384
130	0.585434683
131	0.5853797539
132	0.5853190401
133	0.5852769656
134	0.5851515333
135	0.5851102005
136	0.5851046136
137	0.5850883969
138	0.5850398456
139	0.5849288502
140	0.5849014597
141	0.5846643398
142	0.5846365538
143	0.5845484002
144	0.5845383636
145	0.5845135441
146	0.5844763149
147	0.5844585655
148	0.5843082148
149	0.5842835931
150	0.5842197645
151	0.5841935113
152	0.584146196
153	0.5841404114
154	0.5840610583
155	0.5840310475
156	0.583930138
157	0.5839067523
158	0.5838814384
159	0.5838515759
160	0.5838175604
161	0.5838013931
162	0.583784682
163	0.583775832
164	0.5835960144
165	0.583570305
166	0.583539602
167	0.5834857605
168	0.5834771578
169	0.5834264805
170	0.5834246018
171	0.5834194105
172	0.5833941954
173	0.5833698209
174	0.5833058935
175	0.5832382579
176	0.5832177893
177	0.5831746765
178	0.5831622668
179	0.5831459018
180	0.5831125784
181	0.5830872151
182	0.5830185412
183	0.582967864
184	0.5829579758
185	0.5829242074
186	0.5828579068
187	0.5828103444
188	0.5827684677
189	0.5827335127
190	0.582599181
191	0.5825968573
192	0.5825829149
193	0.5825497893
194	0.5825402471
195	0.5824968872
196	0.5824889766
197	0.5824561971
198	0.582424703
199	0.5823515301
